Species	Chemical Name	"Freq-GHz(rest frame,redshifted)"	"Freq Err(rest frame,redshifted)"	"Meas Freq-GHz(rest frame,redshifted)"	"Meas Freq Err(rest frame,redshifted)"	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	CDMS/JPL Intensity	E_U (K)	Linelist
C2H5OH	Ethanol	191.41086500	5.8E-06			"21(5,16)-20(6,14),g-"	-5.17208	-5.12750	284.64744	CDMS
C2H5OH	Ethanol	191.44298650	1.08E-05			"28(4,24)-28(3,26),g+"	-5.54008	-5.56620	417.98792	CDMS
C2H5OH	Ethanol	191.58059570	5E-06			"23(4,19)-22(5,18),g-"	-6.59810	-6.55510	312.16057	CDMS
C2H5OH	Ethanol	191.59023830	2.2E-06			"11(3,8)-10(3,7),g-"	-4.25486	-4.25510	127.61410	CDMS
C2H5OH	Ethanol	191.64366090	9.3E-06			"25(4,22)-25(3,22),g-"	-4.78869	-4.76820	352.11294	CDMS
C2H5OH	Ethanol	191.86564620	6.6E-06			"7(1,7)-6(1,5),g-"	-7.28953	-7.41470	85.26053	CDMS
C2H5OH	Ethanol	191.91092460	5.1E-06			"15(3,12)-14(4,10),g-"	-5.11069	-5.04770	172.99011	CDMS
C2H5OH	Ethanol	191.91282470	2.3E-06			"11(3,8)-10(3,7),g+"	-4.21709	-4.21120	122.88260	CDMS
C2H5OH	Ethanol	191.92534080	6.9E-06			"25(2,23)-25(1,24),g-"	-6.46853	-6.43260	341.01687	CDMS
C2H5OH	Ethanol	192.10774740	9.9E-06			"16(5,12)-17(2,15),anti"	-6.97901	-6.84990	145.77527	CDMS
C2H5OH	Ethanol	192.39492900	1.09E-05			"19(2,17)-19(1,19),g+"	-6.22920	-6.14010	223.08886	CDMS
C2H5OH	Ethanol	192.41303020	1.07E-05			"31(8,23)-30(6,24),anti"	-7.13515	-7.23530	497.65720	CDMS
C2H5OH	Ethanol	192.41415830	6.3E-06			"13(9,4)-14(8,7),g-"	-7.34739	-7.43780	236.73696	CDMS
C2H5OH	Ethanol	192.41415830	6.3E-06			"13(9,5)-14(8,6),g-"	-7.34739	-7.43780	236.73696	CDMS
C2H5OH	Ethanol	192.43064430	6.3E-06			"11(4,7)-11(2,9),g+"	-7.61040	-7.61780	131.26766	CDMS
C2H5OH	Ethanol	192.44760180	1.14E-05			"24(3,22)-23(4,19),g-"	-5.15919	-5.11340	321.39660	CDMS
C2H5OH	Ethanol	192.54350020	5E-06			"11(9,2)-10(9,1),anti"	-7.52822	-7.57310	156.98678	CDMS
C2H5OH	Ethanol	192.54350020	5E-06			"11(9,3)-10(9,2),anti"	-7.52822	-7.57310	156.98678	CDMS
C2H5OH	Ethanol	192.56508050	4.5E-06			"11(8,3)-10(8,2),anti"	-7.37501	-7.38910	135.68845	CDMS
C2H5OH	Ethanol	192.56508050	4.5E-06			"11(8,4)-10(8,3),anti"	-7.37501	-7.38910	135.68845	CDMS
C2H5OH	Ethanol	192.57469880	3.8E-06			"20(4,17)-20(3,18),anti"	-4.32274	-4.17470	197.10034	CDMS
C2H5OH	Ethanol	192.60243570	4.1E-06			"21(3,19)-21(2,20),anti"	-4.43389	-4.27730	205.43556	CDMS
C2H5OH	Ethanol	192.60267350	4.1E-06			"11(7,5)-10(7,4),anti"	-7.27553	-7.26250	116.89295	CDMS
C2H5OH	Ethanol	192.60267510	4.1E-06			"11(7,4)-10(7,3),anti"	-7.27553	-7.26250	116.89295	CDMS
C2H5OH	Ethanol	192.66751020	3.8E-06			"11(6,6)-10(6,5),anti"	-7.20627	-7.16980	100.60425	CDMS
C2H5OH	Ethanol	192.66752830	3.8E-06			"11(6,5)-10(6,4),anti"	-7.20627	-7.16980	100.60425	CDMS
C2H5OH	Ethanol	192.74793160	6.4E-06			"9(1,8)-8(2,6),g-"	-4.93351	-4.98100	101.16118	CDMS
C2H5OH	Ethanol	192.76209870	5.7E-06			"17(6,11)-18(4,14),g-"	-7.16428	-7.13740	233.03856	CDMS
C2H5OH	Ethanol	192.78352350	3.6E-06			"11(5,7)-10(5,6),anti"	-7.15635	-7.10020	86.82811	CDMS
C2H5OH	Ethanol	192.78487170	3.6E-06			"11(5,6)-10(5,5),anti"	-7.15635	-7.10020	86.82818	CDMS
C2H5OH	Ethanol	192.82229190	4.6E-06			"13(1,12)-12(2,11),anti"	-4.48742	-4.35100	79.42181	CDMS
C2H5OH	Ethanol	192.83108460	7.7E-06			"4(4,0)-5(3,2),g-"	-5.96479	-6.32020	89.57373	CDMS
C2H5OH	Ethanol	192.84203180	6.3E-06			"6(3,4)-6(1,5),g+"	-7.59224	-7.78180	85.30739	CDMS
C2H5OH	Ethanol	192.85433470	7.7E-06			"4(4,1)-5(3,3),g-"	-5.96444	-6.31990	89.57370	CDMS
C2H5OH	Ethanol	192.94499740	1.02E-05			"27(2,25)-26(4,22),g+"	-6.32563	-6.31620	380.40755	CDMS
C2H5OH	Ethanol	192.94531350	1.09E-05			"19(2,17)-19(0,19),g+"	-6.55207	-6.46420	223.08880	CDMS
C2H5OH	Ethanol	192.98863850	3.5E-06			"11(4,8)-10(4,7),anti"	-7.11979	-7.04780	75.57327	CDMS
C2H5OH	Ethanol	193.02961190	3.5E-06			"11(3,9)-10(3,8),anti"	-7.09477	-7.01020	66.81893	CDMS
C2H5OH	Ethanol	193.04458080	3.5E-06			"11(4,7)-10(4,6),anti"	-7.11946	-7.04760	75.57840	CDMS
C2H5OH	Ethanol	193.05828730	1.28E-05			"21(14,7)-22(13,9),g+"	-5.74558	-5.99940	488.24369	CDMS
C2H5OH	Ethanol	193.05828730	1.28E-05			"21(14,8)-22(13,10),g+"	-5.74558	-5.99940	488.24369	CDMS
C2H5OH	Ethanol	193.11806140	6.5E-06			"24(6,19)-23(7,17),g-"	-5.17569	-5.18070	355.46500	CDMS
C2H5OH	Ethanol	193.12754480	1.14E-05			"18(13,5)-19(12,7),g+"	-5.84573	-6.04500	405.37177	CDMS
C2H5OH	Ethanol	193.12754480	1.14E-05			"18(13,6)-19(12,8),g+"	-5.84573	-6.04500	405.37177	CDMS
C2H5OH	Ethanol	193.30078390	6.5E-06			"24(6,18)-23(7,16),g-"	-5.17437	-5.17980	355.47391	CDMS
C2H5OH	Ethanol	193.41509480	1.1E-05			"13(0,13)-12(2,11),g-"	-5.42027	-5.36640	135.54249	CDMS
C2H5OH	Ethanol	193.43410730	1.42E-05			"31(2,29)-30(4,26),g+"	-6.69830	-6.77150	477.47845	CDMS
C2H5OH	Ethanol	193.48760860	9.3E-06			"27(2,25)-26(4,22),g-"	-5.89621	-5.89470	385.04922	CDMS
C2H5OH	Ethanol	193.56282570	7.4E-06			"30(3,27)-30(2,28),g-"	-6.45275	-6.52370	466.05045	CDMS
C2H5OH	Ethanol	193.57252190	2.6E-06			"11(1,10)-10(1,9),g+"	-4.19054	-4.17580	114.22738	CDMS
C2H5OH	Ethanol	193.61588650	7.2E-06			"10(8,3)-11(7,4),g-"	-7.56486	-7.69360	185.98159	CDMS
C2H5OH	Ethanol	193.61588660	7.2E-06			"10(8,2)-11(7,5),g-"	-7.56486	-7.69360	185.98159	CDMS
C2H5OH	Ethanol	193.79136870	7.8E-06			"19(2,18)-19(1,19),anti"	-4.67105	-4.49750	162.61391	CDMS
C2H5OH	Ethanol	193.82717960	9.5E-06			"31(2,29)-30(4,26),g-"	-6.18983	-6.27070	482.18100	CDMS
C2H5OH	Ethanol	193.88094800	1.06E-05			"15(12,3)-16(11,5),g+"	-6.00622	-6.17840	332.42535	CDMS
C2H5OH	Ethanol	193.88094800	1.06E-05			"15(12,4)-16(11,6),g+"	-6.00622	-6.17840	332.42535	CDMS
C2H5OH	Ethanol	193.91321460	6.2E-06			"25(2,23)-25(1,24),g+"	-6.91007	-6.87190	336.42687	CDMS
C2H5OH	Ethanol	193.93472520	7E-06			"7(5,2)-8(4,4),g-"	-5.60251	-5.77620	115.60902	CDMS
C2H5OH	Ethanol	193.94081900	7E-06			"7(5,3)-8(4,5),g-"	-5.60249	-5.77620	115.60902	CDMS
C2H5OH	Ethanol	193.95333680	2.3E-06			"11(1,10)-10(1,9),g-"	-4.17306	-4.16600	118.95236	CDMS
C2H5OH	Ethanol	194.02468230	5E-06			"7(2,5)-7(1,7),g-"	-4.84856	-4.98520	89.87546	CDMS
C2H5OH	Ethanol	194.06386890	8.6E-06			"21(1,20)-21(1,21),g-"	-5.71553	-5.63470	255.53560	CDMS
C2H5OH	Ethanol	194.13545460	3.5E-06			"11(3,8)-10(3,7),anti"	-7.08785	-7.00590	66.94538	CDMS
C2H5OH	Ethanol	194.34512070	8.3E-06			"21(1,20)-21(0,21),g-"	-6.58762	-6.50740	255.53558	CDMS
